charging_station_id,location,time_of_day,next_maintenance_days,usage_efficiency,maintenance_needed,fault_probability,charging_sessions,total_energy_delivered_kW,last_maintenance_date,charging_duration_hours,temperature,voltage,current,user_feedback
1,Location C,Night,269.6,1.0,Software Update,0.06,6,639.8428524648218,2024-10-23 04:54:31.926507,0.9949449730968062,17.01454906980159,201.94763796341536,78.4604955045978,3
2,Location B,Morning,58.3,1.0,Connector Cleaning,0.03,3,477.4595794839616,2024-03-26 09:02:31.926507,1.7265273992809518,25.368144796156088,377.1119466936597,95.83100472479201,2
3,Location D,Evening,278.7,1.0,Connector Cleaning,0.07,7,213.17862206545956,2024-11-01 17:17:31.926507,1.6027140866784841,19.881695608628846,303.74818413257253,61.47340405435484,4
4,Location A,Night,347.8,1.0,Connector Cleaning,0.08,8,205.09480331842747,2025-01-09 12:12:31.926507,0.978392552255942,22.10690094318756,353.3419559021512,45.84801103632848,1
5,Location B,Evening,134.5,1.0,Cable Inspection,0.05,5,808.3338137341154,2024-06-10 10:23:31.926507,1.0221047070705997,31.624070120231575,266.5334087747988,77.77423229984473,2
6,Location B,Morning,246.1,1.0,Connector Cleaning,0.01,1,481.6067457167505,2024-09-30 21:02:31.926507,1.3447751435461324,30.099016817707316,350.7080150077115,21.685661059665108,5
7,Location D,Morning,198.7,1.0,Cable Inspection,0.07,7,409.36124557235627,2024-08-13 07:28:31.926507,2.078175998157246,29.787015367839928,364.68086108009516,77.6265032885486,1
8,Location D,Morning,269.2,1.0,Cable Inspection,0.02,2,148.31544521197333,2024-10-23 19:46:31.926507,1.22951960170495,29.434028532564795,313.52649617654913,62.59497154373662,2
9,Location C,Morning,213.3,1.0,Cable Inspection,0.03,3,290.580684846317,2024-08-28 12:37:31.926507,2.3729428517526054,27.981461205151618,392.45743327638604,68.95488982114821,3
10,Location D,Afternoon,108.4,1.0,Connector Cleaning,0.04,4,781.4460233795644,2024-05-15 06:07:31.926507,2.030988888925922,26.427896588857426,354.43629385474344,98.57349160174243,1
11,Location D,Night,149.7,1.0,Connector Cleaning,0.07,7,788.8724810960719,2024-06-25 01:02:31.926507,1.6712897841023124,33.825193832482256,337.6038052131612,62.84945793550279,5
12,Location D,Night,26.4,1.0,Connector Cleaning,0.04,4,825.0253692406158,2024-02-23 19:20:31.926507,0.5258226733459358,26.488265231863767,293.10067479509365,71.04701221843028,3
