charging_userid,ev_model,station_id,power_consumption,charging_duration,charging_start_time,charging_end_time,charging_start_percentage,charging_end_percentage,charging_rate
U00153,Model_9,S067,8.82,2.43,2024-12-15 00:50:12,2024-12-15 03:16:00,3,71,3.63
U03968,Model_10,S037,55.04,2.69,2024-05-08 00:50:12,2024-05-08 03:31:36,15,95,20.46
U04661,Model_18,S057,23.04,1.53,2024-02-17 00:50:12,2024-02-17 02:22:00,11,69,15.06
U00325,Model_1,S067,7.28,1.1,2024-08-06 00:50:12,2024-08-06 01:56:12,74,93,6.62
U00735,Model_20,S004,24.45,1.6,2024-06-22 00:50:12,2024-06-22 02:26:12,66,91,15.28
U01104,Model_10,S040,14.55,1.7,2024-01-29 00:50:12,2024-01-29 02:32:12,76,97,8.56
U01864,Model_17,S017,4.35,1.29,2024-04-10 00:50:12,2024-04-10 02:07:36,70,84,3.37
U03341,Model_20,S040,40.66,2.49,2024-04-01 00:50:12,2024-04-01 03:19:36,70,79,16.33
U02995,Model_9,S017,9.61,1.2,2024-04-19 00:50:12,2024-04-19 02:02:12,56,72,8.01
U03078,Model_19,S065,46.9,2.8,2024-07-25 00:50:12,2024-07-25 03:38:12,22,95,16.75
U04329,Model_6,S061,6.6,0.62,2024-11-04 00:50:12,2024-11-04 01:27:24,73,92,10.65
U00253,Model_6,S031,22.34,2.23,2024-09-22 00:50:12,2024-09-22 03:04:00,31,37,10.02
U03660,Model_10,S041,14.48,0.75,2024-04-18 00:50:12,2024-04-18 01:35:12,58,93,19.31
U01114,Model_15,S053,10.9,2.5,2024-09-16 00:50:12,2024-09-16 03:20:12,25,54,4.36
U01956,Model_18,S052,21.72,1.74,2024-10-08 00:50:12,2024-10-08 02:34:36,70,85,12.48
U04216,Model_10,S023,26.36,2.28,2024-10-25 00:50:12,2024-10-25 03:07:00,57,99,11.56
U02671,Model_13,S024,16.47,0.82,2024-07-20 00:50:12,2024-07-20 01:39:24,52,89,20.08
U04891,Model_13,S001,23.44,1.48,2023-12-22 00:50:12,2023-12-22 02:19:00,27,53,15.84
U02060,Model_15,S068,14.97,1.19,2024-08-08 00:50:12,2024-08-08 02:01:36,43,100,12.58
U00801,Model_12,S018,36.64,2.68,2024-12-01 00:50:12,2024-12-01 03:31:00,61,87,13.67
U00148,Model_6,S015,15.78,2.45,2024-04-13 00:50:12,2024-04-13 03:17:12,77,86,6.44
U02465,Model_13,S001,20.51,1.58,2024-10-09 00:50:12,2024-10-09 02:25:00,16,21,12.98
U04543,Model_2,S024,15.19,1.72,2024-10-07 00:50:12,2024-10-07 02:33:24,55,88,8.83
U03145,Model_2,S060,9.1,1.75,2024-12-10 00:50:12,2024-12-10 02:35:12,54,65,5.2
U02355,Model_3,S062,7.04,1.73,2024-03-24 00:50:12,2024-03-24 02:34:00,18,56,4.07
U00903,Model_18,S054,15.34,1.32,2024-06-14 00:50:12,2024-06-14 02:09:24,66,88,11.62
U03729,Model_7,S060,30.98,1.6,2024-06-16 00:50:12,2024-06-16 02:26:12,5,93,19.36
U00114,Model_4,S032,45.73,2.74,2024-01-10 00:50:12,2024-01-10 03:34:36,49,55,16.69
U04497,Model_10,S060,6.83,0.72,2024-10-15 00:50:12,2024-10-15 01:33:24,15,64,9.48
U03055,Model_15,S028,47.92,2.39,2024-11-29 00:50:12,2024-11-29 03:13:36,26,72,20.05
U03489,Model_8,S066,10.05,2.71,2024-03-21 00:50:12,2024-03-21 03:32:48,32,94,3.71
U01608,Model_12,S038,9.19,1.68,2024-09-23 00:50:12,2024-09-23 02:31:00,35,90,5.47
U01184,Model_20,S046,10.73,2.25,2024-01-05 00:50:12,2024-01-05 03:05:12,13,14,4.77
U03259,Model_2,S019,2.41,0.66,2024-04-26 00:50:12,2024-04-26 01:29:48,5,20,3.65
U00995,Model_7,S067,13.51,2.46,2024-04-22 00:50:12,2024-04-22 03:17:48,37,59,5.49
U03585,Model_4,S039,19.65,2.21,2024-02-29 00:50:12,2024-02-29 03:02:48,59,61,8.89
U00858,Model_7,S057,12.29,2.54,2024-04-25 00:50:12,2024-04-25 03:22:36,3,45,4.84
U03714,Model_2,S056,12.14,1.76,2024-12-12 00:50:12,2024-12-12 02:35:48,48,77,6.9
U03054,Model_10,S022,20.01,0.92,2024-05-20 00:50:12,2024-05-20 01:45:24,22,64,21.75
U01721,Model_15,S013,33.34,1.64,2024-09-09 00:50:12,2024-09-09 02:28:36,50,95,20.33
U02672,Model_13,S008,32.41,1.88,2024-08-10 00:50:12,2024-08-10 02:43:00,66,88,17.24
U04567,Model_18,S049,35.21,2.36,2024-11-14 00:50:12,2024-11-14 03:11:48,59,71,14.92
U04645,Model_14,S039,19.08,1.76,2023-12-30 00:50:12,2023-12-30 02:35:48,40,63,10.84
